method,Output,nCell,ARI.RNA,ARI level 1.RNA,AMI.RNA,AMI level 1.RNA,graph cLISI.RNA,graph cLISI level 1.RNA,isolated labels ASW.RNA,isolated labels ASW level 1.RNA,ARI.ATAC,ARI level 1.ATAC,AMI.ATAC,AMI level 1.ATAC,graph cLISI.ATAC,graph cLISI level 1.ATAC,isolated labels ASW.ATAC,isolated labels ASW level 1.ATAC,FOSCTTM,Cell match,Cell type match,Cell type level 1 match,RNA,ATAC
LIGER UINMF,Embedding,6924,0.423,0.408,0.633,0.605,0.965,0.965,0.407,0.517,0.45,0.569,0.612,0.656,0.951,0.95,0.486,0.541,0.444,0.001,0.23,0.41,50,100
MaxFuse,Embedding,6924,0.628,0.606,0.71,0.686,0.964,0.96,0.596,0.539,0.562,0.514,0.709,0.681,0.977,0.982,0.49,0.632,0.168,0.005,0.695,0.812,50,100
MultiMAP,Embedding,6924,0.256,0.241,0.567,0.559,0.962,0.971,0.529,0.525,0.221,0.225,0.532,0.528,0.957,0.972,0.418,0.625,0.155,0.002,0.556,0.746,50,100
Pamona,Embedding,6924,0.094,0.087,0.235,0.232,0.808,0.669,0.443,0.482,0.011,0.01,0.052,0.043,0.723,0.517,0.489,0.502,0.508,0,0.065,0.116,50,100
SCALEX,Embedding,6924,0.511,0.512,0.651,0.631,0.958,0.956,0.609,0.523,0.505,0.62,0.618,0.66,0.949,0.944,0.498,0.523,0.148,0.003,0.553,0.74,50,100
Seurat v3 CCA,Embedding,6924,0.498,0.498,0.646,0.624,0.955,0.943,0.551,0.512,0.379,0.329,0.657,0.62,0.98,0.985,0.419,0.544,0.101,0.003,0.655,0.788,50,100
Seurat v4 RPCA,Embedding,6924,0.493,0.497,0.645,0.621,0.953,0.94,0.545,0.513,0.313,0.299,0.6,0.586,0.972,0.98,0.444,0.504,0.124,0.003,0.61,0.756,50,100
SIMBA,Embedding,6924,0.574,0.555,0.703,0.668,0.969,0.973,0.562,0.512,0.53,0.588,0.66,0.675,0.962,0.969,0.511,0.554,0.115,0.002,0.567,0.761,50,100
unionCom,Embedding,6924,0.404,0.369,0.63,0.601,0.975,0.976,0.52,0.511,0.29,0.313,0.509,0.526,0.95,0.954,0.496,0.529,0.101,0.003,0.538,0.709,50,100
uniPort,Embedding,6924,0.462,0.519,0.63,0.636,0.961,0.963,0.474,0.496,0.552,0.541,0.7,0.67,0.966,0.967,0.565,0.509,0.108,0.006,0.661,0.808,50,100
bindSC,Embedding,6924,0.362,0.421,0.52,0.529,0.939,0.912,0.434,0.393,0.304,0.32,0.565,0.573,0.96,0.968,0.565,0.589,0.134,0.001,0.426,0.625,50,50
GLUE,Embedding,6924,0.631,0.588,0.751,0.709,0.977,0.982,0.515,0.502,0.622,0.602,0.732,0.716,0.98,0.985,0.41,0.5,0.042,0.013,0.74,0.854,50,50
LIGER iNMF,Embedding,6924,0.58,0.569,0.681,0.663,0.968,0.963,0.544,0.518,0.415,0.523,0.542,0.578,0.932,0.918,0.441,0.471,0.263,0.001,0.336,0.603,50,50
LIGER online iNMF,Embedding,6924,0.473,0.541,0.602,0.621,0.942,0.932,0.483,0.482,0.337,0.469,0.456,0.501,0.904,0.858,0.459,0.464,0.261,0.001,0.401,0.63,50,50
LIGER UINMF,Embedding,6924,0.425,0.425,0.619,0.595,0.963,0.961,0.452,0.507,0.384,0.524,0.488,0.536,0.92,0.878,0.448,0.435,0.413,0,0.177,0.343,50,50
MaxFuse,Embedding,6924,0.626,0.627,0.72,0.705,0.958,0.953,0.603,0.54,0.592,0.567,0.705,0.687,0.976,0.982,0.501,0.63,0.19,0.004,0.656,0.79,50,50
MultiMAP,Embedding,6924,0.233,0.223,0.558,0.541,0.964,0.968,0.427,0.512,0.235,0.235,0.511,0.512,0.956,0.965,0.401,0.623,0.157,0.002,0.557,0.735,50,50
Pamona,Embedding,6924,0.077,0.068,0.214,0.211,0.793,0.651,0.441,0.482,0.005,0.005,0.032,0.024,0.696,0.455,0.435,0.505,0.506,0,0.08,0.131,50,50
SCALEX,Embedding,6924,0.507,0.556,0.644,0.64,0.955,0.947,0.606,0.538,0.426,0.513,0.557,0.589,0.939,0.917,0.484,0.525,0.154,0.003,0.536,0.719,50,50
Seurat v3 CCA,Embedding,6924,0.495,0.485,0.65,0.619,0.953,0.945,0.547,0.512,0.368,0.327,0.641,0.613,0.977,0.983,0.381,0.52,0.106,0.003,0.619,0.761,50,50
Seurat v4 RPCA,Embedding,6924,0.492,0.489,0.642,0.62,0.951,0.937,0.538,0.512,0.328,0.331,0.583,0.573,0.969,0.978,0.407,0.495,0.137,0.003,0.588,0.736,50,50
SIMBA,Embedding,6924,0.577,0.538,0.699,0.661,0.967,0.969,0.568,0.505,0.477,0.544,0.614,0.629,0.956,0.955,0.52,0.527,0.129,0.002,0.532,0.72,50,50
unionCom,Embedding,6924,0.415,0.375,0.633,0.6,0.974,0.975,0.497,0.513,0.323,0.376,0.562,0.577,0.95,0.953,0.438,0.544,0.081,0.003,0.519,0.705,50,50
uniPort,Embedding,6924,0.504,0.543,0.625,0.636,0.957,0.949,0.465,0.476,0.596,0.625,0.72,0.71,0.964,0.963,0.552,0.506,0.123,0.005,0.629,0.783,50,50
bindSC,Embedding,6924,0.361,0.415,0.555,0.569,0.947,0.934,0.374,0.402,0.317,0.316,0.577,0.579,0.963,0.975,0.548,0.582,0.126,0.002,0.473,0.678,75,100
GLUE,Embedding,6924,0.666,0.587,0.766,0.712,0.979,0.98,0.518,0.506,0.684,0.637,0.747,0.724,0.976,0.981,0.449,0.494,0.039,0.015,0.734,0.854,75,100
LIGER iNMF,Embedding,6924,0.565,0.547,0.696,0.675,0.975,0.976,0.614,0.539,0.51,0.625,0.624,0.661,0.955,0.949,0.449,0.49,0.244,0.001,0.314,0.517,75,100
LIGER online iNMF,Embedding,6924,0.4,0.475,0.625,0.638,0.955,0.948,0.481,0.498,0.435,0.562,0.572,0.623,0.941,0.919,0.477,0.463,0.232,0.001,0.397,0.603,75,100
LIGER UINMF,Embedding,6924,0.437,0.433,0.655,0.617,0.969,0.965,0.463,0.496,0.484,0.575,0.633,0.672,0.952,0.962,0.447,0.549,0.445,0.001,0.157,0.285,75,100
MaxFuse,Embedding,6924,0.628,0.564,0.736,0.688,0.97,0.965,0.574,0.538,0.551,0.494,0.707,0.669,0.978,0.983,0.497,0.632,0.145,0.008,0.709,0.823,75,100
MultiMAP,Embedding,6924,0.27,0.249,0.586,0.567,0.967,0.979,0.435,0.523,0.248,0.246,0.527,0.526,0.956,0.971,0.429,0.628,0.151,0.002,0.574,0.753,75,100
Pamona,Embedding,6924,0.086,0.078,0.248,0.242,0.853,0.757,0.443,0.502,0.013,0.012,0.056,0.047,0.734,0.528,0.484,0.48,0.507,0,0.068,0.118,75,100
SCALEX,Embedding,6924,0.544,0.597,0.682,0.676,0.965,0.966,0.605,0.512,0.475,0.582,0.599,0.634,0.949,0.943,0.504,0.526,0.134,0.004,0.582,0.762,75,100
Seurat v3 CCA,Embedding,6924,0.505,0.452,0.656,0.618,0.967,0.966,0.572,0.52,0.413,0.342,0.666,0.626,0.981,0.985,0.374,0.533,0.088,0.004,0.662,0.799,75,100
Seurat v4 RPCA,Embedding,6924,0.474,0.424,0.65,0.606,0.963,0.961,0.571,0.518,0.298,0.289,0.583,0.569,0.974,0.98,0.404,0.486,0.115,0.004,0.619,0.758,75,100
SIMBA,Embedding,6924,0.623,0.562,0.735,0.695,0.978,0.983,0.557,0.502,0.527,0.575,0.658,0.668,0.967,0.973,0.522,0.558,0.107,0.004,0.589,0.763,75,100
unionCom,Embedding,6924,0.372,0.33,0.643,0.597,0.978,0.984,0.359,0.513,0.38,0.381,0.634,0.631,0.966,0.975,0.308,0.533,0.045,0.006,0.667,0.812,75,100
uniPort,Embedding,6924,0.498,0.521,0.65,0.646,0.963,0.97,0.502,0.495,0.52,0.543,0.716,0.697,0.975,0.98,0.564,0.506,0.09,0.007,0.675,0.815,75,100
bindSC,Embedding,6924,0.38,0.475,0.562,0.592,0.944,0.932,0.382,0.406,0.326,0.337,0.575,0.589,0.961,0.975,0.562,0.577,0.127,0.001,0.479,0.666,75,75
GLUE,Embedding,6924,0.649,0.575,0.759,0.708,0.98,0.982,0.514,0.511,0.647,0.607,0.749,0.72,0.981,0.987,0.426,0.498,0.043,0.011,0.738,0.854,75,75
LIGER iNMF,Embedding,6924,0.57,0.525,0.699,0.667,0.976,0.978,0.613,0.536,0.501,0.568,0.617,0.635,0.951,0.941,0.472,0.483,0.245,0.001,0.315,0.537,75,75
LIGER online iNMF,Embedding,6924,0.439,0.483,0.636,0.639,0.957,0.956,0.481,0.498,0.406,0.538,0.543,0.586,0.935,0.909,0.465,0.458,0.239,0.001,0.399,0.607,75,75
LIGER UINMF,Embedding,6924,0.447,0.472,0.653,0.64,0.972,0.976,0.558,0.511,0.418,0.547,0.599,0.648,0.943,0.93,0.424,0.531,0.422,0.001,0.155,0.32,75,75
MaxFuse,Embedding,6924,0.648,0.587,0.74,0.696,0.972,0.969,0.589,0.529,0.541,0.504,0.692,0.655,0.975,0.983,0.509,0.626,0.156,0.005,0.688,0.808,75,75
MultiMAP,Embedding,6924,0.267,0.245,0.581,0.559,0.965,0.976,0.625,0.542,0.271,0.264,0.535,0.539,0.956,0.968,0.446,0.604,0.155,0.002,0.564,0.744,75,75
Pamona,Embedding,6924,0.086,0.081,0.252,0.245,0.851,0.761,0.445,0.503,0.009,0.009,0.038,0.03,0.726,0.519,0.45,0.474,0.507,0,0.062,0.108,75,75
SCALEX,Embedding,6924,0.547,0.543,0.668,0.644,0.964,0.963,0.601,0.522,0.486,0.553,0.596,0.616,0.945,0.936,0.497,0.525,0.13,0.003,0.562,0.747,75,75
Seurat v3 CCA,Embedding,6924,0.438,0.438,0.645,0.63,0.963,0.962,0.571,0.52,0.423,0.371,0.664,0.631,0.979,0.986,0.342,0.547,0.087,0.004,0.643,0.787,75,75
Seurat v4 RPCA,Embedding,6924,0.459,0.487,0.638,0.641,0.961,0.961,0.57,0.52,0.313,0.288,0.589,0.568,0.97,0.979,0.423,0.474,0.115,0.005,0.624,0.761,75,75
SIMBA,Embedding,6924,0.614,0.542,0.729,0.68,0.976,0.975,0.565,0.505,0.516,0.593,0.655,0.676,0.963,0.968,0.531,0.551,0.106,0.004,0.589,0.76,75,75
unionCom,Embedding,6924,0.379,0.331,0.655,0.616,0.978,0.984,0.373,0.524,0.387,0.377,0.631,0.623,0.968,0.977,0.283,0.561,0.045,0.005,0.662,0.81,75,75
uniPort,Embedding,6924,0.563,0.565,0.656,0.652,0.965,0.967,0.484,0.489,0.632,0.619,0.738,0.717,0.976,0.977,0.562,0.503,0.089,0.006,0.674,0.814,75,75
