method,Output,nCell,Batch ASW,graph connectivity,graph connectivity level 1,graph iLISI,ARI,ARI level 1,AMI,AMI level 1,graph cLISI,graph cLISI level 1,isolated labels ASW,isolated labels ASW level 1,s2d1,s3d6
scVAEIT,Embedding,31965,0.6084,0.572,0.796,6e-04,0.2512,0.2776,0.5814,0.6019,0.976,0.9969,0.5957,0.557,100,75
StabMap,Embedding,31965,0.8472,0.9033,0.9201,0.3424,0.4332,0.4467,0.7082,0.7011,0.9867,0.9982,0.4598,0.5757,100,75
scMoMaT,Embedding,31965,0.885,0.8434,0.9146,0.2339,0.4243,0.4689,0.6483,0.6692,0.9752,0.9904,0.5307,0.5197,100,100
scVAEIT,Embedding,31965,0.5359,0.593,0.8478,0,0.2602,0.2727,0.5971,0.5999,0.9788,0.9977,0.5762,0.5502,100,100
StabMap,Embedding,31965,0.8569,0.9141,0.9303,0.3347,0.4427,0.4739,0.7219,0.7247,0.9879,0.9985,0.4713,0.5765,100,100
Seurat v5 bridge,Embedding,31965,0.6645,0.536,0.6249,0.0428,0.3067,0.2869,0.5998,0.5826,0.9853,0.9948,0.8263,0.4638,10,100
Seurat v5 bridge,Embedding,31965,0.7019,0.5936,0.6384,0.0316,0.3248,0.2876,0.6442,0.6127,0.9898,0.9984,0.84,0.4743,25,100
Seurat v5 bridge,Embedding,31965,0.6451,0.611,0.6637,0.0188,0.2858,0.2513,0.6538,0.615,0.9927,0.9985,0.8422,0.4793,50,100
Seurat v5 bridge,Embedding,31965,0.693,0.6161,0.636,0.0129,0.3201,0.2674,0.6675,0.6235,0.9939,0.9991,0.8593,0.4817,75,100
Seurat v5 bridge,Embedding,31965,0.6979,0.6309,0.6487,0.0079,0.3042,0.2594,0.6742,0.6265,0.9951,0.9992,0.8653,0.4851,100,100
Seurat v5 bridge,Embedding,31965,0.5983,0.5558,0.6785,0.0019,0.2801,0.2355,0.6112,0.5785,0.9911,0.9981,0.7997,0.4799,100,10
Seurat v5 bridge,Embedding,31965,0.6297,0.597,0.6299,0.004,0.3043,0.2589,0.6548,0.6136,0.9942,0.9986,0.8212,0.4825,100,25
Seurat v5 bridge,Embedding,31965,0.6585,0.61,0.6304,0.0109,0.3205,0.2623,0.6756,0.6227,0.9948,0.999,0.8507,0.4845,100,50
Seurat v5 bridge,Embedding,31965,0.6578,0.6356,0.6825,0.0081,0.2813,0.2373,0.6685,0.6187,0.9949,0.9991,0.8591,0.4846,100,75
