method,Output,nCell,Batch ASW batch,Batch ASW site,graph connectivity,graph connectivity level 1,graph iLISI,ARI,ARI level 1,AMI,AMI level 1,graph cLISI,graph cLISI level 1,isolated labels ASW,isolated labels ASW level 1,RNA,ATAC
MultiVI,Embedding,6924,0.762,0.856,0.691,0.856,0.379,0.227,0.228,0.482,0.48,0.925,0.878,0.309,0.554,10,100
scAI,Embedding,6924,0.912,0.919,0.75,0.864,0.35,0.176,0.216,0.313,0.328,0.88,0.817,0.585,0.546,10,100
scDEC,Embedding,6924,0.841,0.893,0.829,0.911,0.305,0.361,0.41,0.509,0.533,0.939,0.911,0.437,0.478,10,100
scMDC,Embedding,6924,0.892,0.918,0.828,0.814,0.419,0.478,0.542,0.65,0.657,0.959,0.948,0.141,0.548,10,100
scMVAE,Embedding,6924,0.888,0.897,0.944,0.976,0.314,0.348,0.401,0.534,0.561,0.924,0.886,0.61,0.586,10,100
scMVP,Embedding,6924,0.933,0.942,0.936,0.956,0.361,0.507,0.616,0.692,0.717,0.955,0.951,0.477,0.501,10,100
Seurat v4 WNN,Graph,6924,NA,NA,0.975,0.972,0.327,0.591,0.53,0.733,0.698,0.982,0.985,NA,NA,10,100
uniPort,Embedding,6924,0.873,0.942,0.256,0.688,0.546,0.001,0,0.002,0.001,0.683,0.439,0.401,0.439,10,100
cobolt,Embedding,6924,0.79,0.88,0.725,0.83,0.41,0.238,0.265,0.475,0.5,0.917,0.905,0.293,0.495,10,10
DCCA,Embedding,6924,0.869,0.884,0.889,0.907,0.328,0.455,0.492,0.603,0.606,0.948,0.933,0.579,0.528,10,10
MOFA+,Embedding,6924,0.812,0.864,0.797,0.888,0.324,0.26,0.3,0.479,0.502,0.917,0.887,0.522,0.625,10,10
Multigrate,Embedding,6924,0.9,0.943,0.774,0.863,0.434,0.4,0.491,0.528,0.567,0.913,0.872,0.41,0.477,10,10
MultiVI,Embedding,6924,0.752,0.875,0.429,0.654,0.364,0.177,0.182,0.341,0.355,0.863,0.784,0.355,0.483,10,10
scAI,Embedding,6924,0.896,0.907,0.764,0.859,0.342,0.107,0.132,0.279,0.282,0.879,0.81,0.593,0.534,10,10
scDEC,Embedding,6924,0.85,0.909,0.762,0.878,0.334,0.252,0.307,0.412,0.436,0.896,0.843,0.448,0.49,10,10
scMDC,Embedding,6924,0.839,0.927,0.927,0.963,0.375,0.426,0.518,0.583,0.619,0.935,0.898,0.489,0.627,10,10
scMVAE,Embedding,6924,0.9,0.898,0.924,0.971,0.329,0.33,0.45,0.5,0.547,0.911,0.861,0.613,0.579,10,10
scMVP,Embedding,6924,0.939,0.939,0.907,0.915,0.386,0.47,0.606,0.632,0.694,0.927,0.891,0.484,0.466,10,10
Seurat v4 WNN,Graph,6924,NA,NA,0.898,0.9,0.347,0.512,0.527,0.631,0.624,0.958,0.952,NA,NA,10,10
uniPort,Embedding,6924,0.912,0.968,0.288,0.711,0.552,0.004,0.005,0.004,0.005,0.687,0.438,0.417,0.429,10,10
cobolt,Embedding,6924,0.789,0.858,0.846,0.874,0.339,0.325,0.349,0.558,0.564,0.951,0.952,0.375,0.586,25,100
DCCA,Embedding,6924,0.845,0.857,0.928,0.956,0.295,0.408,0.422,0.601,0.59,0.96,0.965,0.569,0.576,25,100
MOFA+,Embedding,6924,0.857,0.869,0.932,0.957,0.264,0.376,0.364,0.608,0.588,0.966,0.969,0.545,0.603,25,100
Multigrate,Embedding,6924,0.826,0.924,0.889,0.917,0.394,0.408,0.421,0.621,0.614,0.958,0.96,0.451,0.482,25,100
MultiVI,Embedding,6924,0.771,0.855,0.824,0.888,0.332,0.255,0.267,0.533,0.532,0.951,0.936,0.432,0.553,25,100
scAI,Embedding,6924,0.904,0.898,0.931,0.94,0.259,0.46,0.528,0.601,0.618,0.948,0.943,0.622,0.531,25,100
scDEC,Embedding,6924,0.851,0.894,0.826,0.87,0.277,0.356,0.409,0.568,0.575,0.947,0.93,0.421,0.523,25,100
scMDC,Embedding,6924,0.89,0.928,0.86,0.804,0.342,0.601,0.576,0.718,0.688,0.972,0.976,0.187,0.525,25,100
scMVAE,Embedding,6924,0.893,0.881,0.958,0.978,0.281,0.365,0.444,0.541,0.583,0.931,0.899,0.667,0.602,25,100
scMVP,Embedding,6924,0.927,0.911,0.956,0.968,0.281,0.543,0.634,0.696,0.705,0.963,0.968,0.56,0.495,25,100
Seurat v4 WNN,Graph,6924,NA,NA,0.979,0.972,0.309,0.602,0.512,0.735,0.682,0.985,0.986,NA,NA,25,100
uniPort,Embedding,6924,0.859,0.929,0.31,0.682,0.544,0.022,0.031,0.055,0.058,0.713,0.498,0.429,0.427,25,100
cobolt,Embedding,6924,0.79,0.829,0.843,0.909,0.329,0.327,0.36,0.527,0.546,0.94,0.928,0.352,0.493,25,25
DCCA,Embedding,6924,0.846,0.882,0.915,0.955,0.311,0.5,0.482,0.652,0.626,0.966,0.968,0.503,0.547,25,25
MOFA+,Embedding,6924,0.835,0.847,0.929,0.96,0.295,0.306,0.33,0.558,0.562,0.958,0.962,0.525,0.63,25,25
Multigrate,Embedding,6924,0.877,0.931,0.855,0.902,0.384,0.41,0.449,0.625,0.633,0.952,0.946,0.347,0.487,25,25
MultiVI,Embedding,6924,0.746,0.878,0.711,0.844,0.342,0.248,0.277,0.486,0.499,0.923,0.891,0.292,0.48,25,25
scAI,Embedding,6924,0.891,0.882,0.915,0.942,0.249,0.496,0.486,0.621,0.6,0.954,0.937,0.619,0.546,25,25
scDEC,Embedding,6924,0.847,0.88,0.853,0.905,0.246,0.344,0.406,0.509,0.533,0.937,0.917,0.625,0.498,25,25
scMDC,Embedding,6924,0.862,0.916,0.839,0.817,0.345,0.505,0.488,0.655,0.635,0.963,0.955,0.171,0.526,25,25
scMVAE,Embedding,6924,0.889,0.895,0.961,0.983,0.278,0.434,0.496,0.568,0.586,0.935,0.904,0.657,0.596,25,25
scMVP,Embedding,6924,0.924,0.906,0.945,0.934,0.283,0.539,0.64,0.695,0.715,0.962,0.961,0.548,0.489,25,25
Seurat v4 WNN,Graph,6924,NA,NA,0.976,0.973,0.309,0.549,0.525,0.693,0.66,0.975,0.979,NA,NA,25,25
uniPort,Embedding,6924,0.897,0.945,0.269,0.708,0.547,0,0.001,0.001,0.001,0.68,0.444,0.403,0.458,25,25
cobolt,Embedding,6924,0.79,0.871,0.869,0.909,0.324,0.329,0.351,0.57,0.568,0.954,0.957,0.395,0.595,50,100
DCCA,Embedding,6924,0.84,0.86,0.92,0.959,0.273,0.399,0.432,0.62,0.609,0.964,0.967,0.669,0.614,50,100
MOFA+,Embedding,6924,0.847,0.864,0.94,0.969,0.254,0.375,0.323,0.624,0.578,0.969,0.972,0.563,0.604,50,100
Multigrate,Embedding,6924,0.862,0.925,0.88,0.905,0.386,0.447,0.42,0.655,0.628,0.968,0.969,0.402,0.483,50,100
MultiVI,Embedding,6924,0.781,0.851,0.917,0.939,0.293,0.311,0.341,0.572,0.564,0.953,0.949,0.473,0.63,50,100
scAI,Embedding,6924,0.87,0.871,0.953,0.959,0.223,0.448,0.481,0.658,0.65,0.97,0.971,0.652,0.546,50,100
scDEC,Embedding,6924,0.864,0.875,0.899,0.96,0.238,0.357,0.376,0.565,0.576,0.951,0.943,0.58,0.481,50,100
scMDC,Embedding,6924,0.891,0.918,0.928,0.973,0.31,0.634,0.603,0.732,0.703,0.979,0.98,0.244,0.505,50,100
scMVAE,Embedding,6924,0.886,0.878,0.975,0.989,0.256,0.397,0.473,0.586,0.629,0.949,0.932,0.66,0.598,50,100
scMVP,Embedding,6924,0.898,0.889,0.976,0.98,0.24,0.612,0.568,0.728,0.692,0.975,0.979,0.601,0.517,50,100
Seurat v4 WNN,Graph,6924,NA,NA,0.981,0.975,0.28,0.553,0.477,0.733,0.682,0.986,0.987,NA,NA,50,100
uniPort,Embedding,6924,0.841,0.905,0.654,0.834,0.394,0.248,0.321,0.464,0.501,0.925,0.885,0.464,0.464,50,100
cobolt,Embedding,6924,0.812,0.86,0.864,0.906,0.313,0.335,0.379,0.574,0.58,0.949,0.951,0.392,0.575,50,50
DCCA,Embedding,6924,0.822,0.851,0.943,0.965,0.28,0.482,0.46,0.666,0.634,0.97,0.976,0.672,0.593,50,50
MOFA+,Embedding,6924,0.849,0.855,0.942,0.974,0.254,0.408,0.35,0.645,0.603,0.968,0.968,0.57,0.614,50,50
Multigrate,Embedding,6924,0.857,0.902,0.895,0.922,0.351,0.599,0.526,0.703,0.671,0.975,0.979,0.392,0.482,50,50
MultiVI,Embedding,6924,0.803,0.867,0.887,0.943,0.286,0.288,0.32,0.55,0.552,0.951,0.936,0.452,0.572,50,50
scAI,Embedding,6924,0.865,0.873,0.944,0.958,0.228,0.448,0.464,0.651,0.633,0.97,0.972,0.641,0.548,50,50
scDEC,Embedding,6924,0.851,0.882,0.869,0.913,0.244,0.383,0.461,0.557,0.576,0.95,0.942,0.603,0.499,50,50
scMDC,Embedding,6924,0.872,0.916,0.807,0.802,0.289,0.592,0.559,0.718,0.684,0.979,0.98,0.252,0.508,50,50
scMVAE,Embedding,6924,0.898,0.875,0.969,0.981,0.25,0.38,0.443,0.598,0.628,0.942,0.922,0.665,0.613,50,50
scMVP,Embedding,6924,0.897,0.883,0.972,0.977,0.226,0.551,0.56,0.708,0.693,0.974,0.978,0.618,0.514,50,50
Seurat v4 WNN,Graph,6924,NA,NA,0.985,0.979,0.282,0.607,0.534,0.748,0.696,0.984,0.985,NA,NA,50,50
uniPort,Embedding,6924,0.822,0.887,0.668,0.828,0.378,0.264,0.339,0.474,0.515,0.927,0.891,0.422,0.487,50,50
cobolt,Embedding,6924,0.802,0.848,0.862,0.916,0.299,0.338,0.383,0.567,0.57,0.952,0.946,0.415,0.591,75,100
DCCA,Embedding,6924,0.841,0.837,0.926,0.969,0.27,0.42,0.444,0.625,0.62,0.968,0.972,0.615,0.602,75,100
MOFA+,Embedding,6924,0.849,0.848,0.94,0.975,0.244,0.391,0.337,0.64,0.597,0.971,0.976,0.551,0.602,75,100
Multigrate,Embedding,6924,0.848,0.908,0.869,0.906,0.397,0.496,0.453,0.684,0.665,0.974,0.982,0.325,0.471,75,100
MultiVI,Embedding,6924,0.822,0.843,0.914,0.936,0.27,0.31,0.342,0.568,0.572,0.954,0.947,0.588,0.634,75,100
scAI,Embedding,6924,0.883,0.854,0.945,0.951,0.214,0.442,0.407,0.671,0.625,0.977,0.978,0.644,0.556,75,100
scDEC,Embedding,6924,0.861,0.879,0.921,0.956,0.229,0.481,0.514,0.648,0.647,0.967,0.969,0.575,0.552,75,100
scMDC,Embedding,6924,0.88,0.914,0.922,0.922,0.281,0.607,0.581,0.729,0.697,0.983,0.985,0.24,0.497,75,100
scMVAE,Embedding,6924,0.878,0.876,0.975,0.986,0.235,0.436,0.434,0.629,0.617,0.954,0.945,0.679,0.616,75,100
