method,Output,nCell,Batch ASW batch,Batch ASW site,graph connectivity,graph connectivity level 1,graph iLISI,ARI,ARI level 1,AMI,AMI level 1,graph cLISI,graph cLISI level 1,isolated labels ASW,isolated labels ASW level 1,RNA,ADT
Seurat v4 WNN,Graph,9026,NA,NA,0.907,0.959,0.144,0.409,0.379,0.683,0.655,0.987,0.995,NA,NA,75,100
totalVI,Embedding,9026,0.849,0.798,0.88,0.958,0.099,0.36,0.318,0.638,0.615,0.986,0.993,0.596,0.539,75,100
bindSC,Embedding,9026,0.906,0.88,0.914,0.946,0.213,0.486,0.463,0.728,0.701,0.987,0.995,0.576,0.574,75,75
CiteFuse,Graph,9026,NA,NA,1,1,0.11,0,0,0,0,0.953,0.802,NA,NA,75,75
MaxFuse,Embedding,9026,0.902,0.905,0.931,0.947,0.283,0.472,0.486,0.73,0.713,0.986,0.99,0.577,0.54,75,75
MOFA+,Embedding,9026,0.842,0.814,0.814,0.891,0.142,0.337,0.315,0.639,0.619,0.983,0.994,0.673,0.553,75,75
Multigrate,Embedding,9026,0.853,0.885,0.763,0.878,0.23,0.351,0.32,0.677,0.641,0.985,0.994,0.625,0.593,75,75
SCALEX,Embedding,9026,0.872,0.883,0.85,0.914,0.275,0.386,0.442,0.697,0.685,0.983,0.992,0.551,0.577,75,75
sciPENN,Embedding,9026,0.957,0.969,0.659,0.846,0.495,0.536,0.608,0.605,0.652,0.933,0.868,0.491,0.484,75,75
scMDC,Embedding,9026,0.85,0.808,0.893,0.842,0.159,0.339,0.357,0.687,0.666,0.99,0.999,0.716,0.623,75,75
Seurat v4 WNN,Graph,9026,NA,NA,0.911,0.937,0.149,0.407,0.365,0.682,0.656,0.987,0.995,NA,NA,75,75
totalVI,Embedding,9026,0.865,0.84,0.904,0.947,0.117,0.39,0.353,0.653,0.629,0.987,0.994,0.581,0.54,75,75
